ID,Frakce,Název,Typ,Cena,Atk,HP,AI_Text,Visual_Subject,FULL_PROMPT
1,Law,IRON SHERIFF,Unit,5,4,5,Battlecry: Give other Law units +1/+1,a stern Sheriff with a gold badge,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of a stern Sheriff with a gold badge western style. Bottom half: beige text box. Text 1: Title "IRON SHERIFF" in bold western font. Text 2: Description "Battlecry: Give other Law units +1/+1". Top-Left Corner: Circle with number "5". Bottom-Left: Shield icon with "4". Bottom-Right: Heart icon with "5". Style: Worn paper texture antique aesthetic masterpiece.
2,Law,MARSHAL,Unit,6,3,7,Guardian,a Town Marshal holding a shotgun,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of a Town Marshal holding a shotgun western style. Bottom half: beige text box. Text 1: Title "MARSHAL" in bold western font. Text 2: Description "Guardian". Top-Left Corner: Circle with number "6". Bottom-Left: Shield icon with "3". Bottom-Right: Heart icon with "7". Style: Worn paper texture antique aesthetic masterpiece.
3,Law,DETECTIVE,Unit,3,2,3,Battlecry: Look at enemy hand,a Pinkerton detective in a suit,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of a Pinkerton detective in a suit western style. Bottom half: beige text box. Text 1: Title "DETECTIVE" in bold western font. Text 2: Description "Battlecry: Look at enemy hand". Top-Left Corner: Circle with number "3". Bottom-Left: Shield icon with "2". Bottom-Right: Heart icon with "3". Style: Worn paper texture antique aesthetic masterpiece.
4,Law,HANDCUFFS,Spell,2,-,-,Choose an enemy Unit. It can't attack next turn.,pair of metal handcuffs on a table,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of pair of metal handcuffs on a table western style. Bottom half: beige text box. Text 1: Title "HANDCUFFS" in bold western font. Text 2: Description "Enemy Unit can't attack next turn". Top-Left Corner: Circle with number "2". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
5,Law,WANTED POSTER,Spell,2,-,-,Draw 2 cards.,a wanted poster nailed to a wall,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of a wanted poster nailed to a wall western style. Bottom half: beige text box. Text 1: Title "WANTED POSTER" in bold western font. Text 2: Description "Draw 2 cards". Top-Left Corner: Circle with number "2". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
6,Outlaw,DYNAMITE,Spell,5,-,-,Deal 3 damage to ALL characters.,red dynamite sticks with burning fuse,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of red dynamite sticks with burning fuse western style. Bottom half: beige text box. Text 1: Title "DYNAMITE" in bold western font. Text 2: Description "Deal 3 damage to ALL characters". Top-Left Corner: Circle with number "5". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
7,Outlaw,BANDIT,Unit,3,4,2,Ambush,masked bandit robbing a train,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of masked bandit robbing a train western style. Bottom half: beige text box. Text 1: Title "BANDIT" in bold western font. Text 2: Description "Ambush". Top-Left Corner: Circle with number "3". Bottom-Left: Shield icon with "4". Bottom-Right: Heart icon with "2". Style: Worn paper texture antique aesthetic masterpiece.
8,Outlaw,DUELIST,Unit,4,4,3,Battlecry: Deal 2 damage.,gunslinger fanning a revolver,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of gunslinger fanning a revolver western style. Bottom half: beige text box. Text 1: Title "DUELIST" in bold western font. Text 2: Description "Battlecry: Deal 2 damage". Top-Left Corner: Circle with number "4". Bottom-Left: Shield icon with "4". Bottom-Right: Heart icon with "3". Style: Worn paper texture antique aesthetic masterpiece.
9,Outlaw,MOLOTOV,Spell,3,-,-,Deal 4 damage to a Unit.,burning alcohol bottle with rag,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of burning alcohol bottle with rag western style. Bottom half: beige text box. Text 1: Title "MOLOTOV" in bold western font. Text 2: Description "Deal 4 damage to a Unit". Top-Left Corner: Circle with number "3". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
10,Outlaw,THE HEIST,Spell,3,-,-,Gain 3 Grit this turn only.,bags of money and gold bars,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of bags of money and gold bars western style. Bottom half: beige text box. Text 1: Title "THE HEIST" in bold western font. Text 2: Description "Gain 3 Grit this turn only". Top-Left Corner: Circle with number "3". No bottom stats. Style: Worn paper texture antique aesthetic masterpiece.
11,Wild,GRIZZLY,Unit,7,7,7,Has +3 Attack while damaged.,roaring grizzly bear standing up,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of roaring grizzly bear standing up western style. Bottom half: beige text box. Text 1: Title "GRIZZLY" in bold western font. Text 2: Description "Has +3 Attack while damaged". Top-Left Corner: Circle with number "7". Bottom-Left: Shield icon with "7". Bottom-Right: Heart icon with "7". Style: Worn paper texture antique aesthetic masterpiece.
12,Wild,WOLF PACK,Unit,4,2,2,Battlecry: Summon two 2/1 Wolves.,grey wolf howling at moon,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of grey wolf howling at moon western style. Bottom half: beige text box. Text 1: Title "WOLF PACK" in bold western font. Text 2: Description "Battlecry: Summon two 2/1 Wolves". Top-Left Corner: Circle with number "4". Bottom-Left: Shield icon with "2". Bottom-Right: Heart icon with "2". Style: Worn paper texture antique aesthetic masterpiece.
13,Wild,COUGAR,Unit,4,5,3,Stealth,mountain lion stalking in grass,vintage 1890s cigarette trading card design split layout. Top half: detailed chromolithograph illustration of mountain lion stalking in grass western style. Bottom half: beige text box. Text 1: Title "COUGAR" in bold western font. Text 2: Description "Stealth". Top-Left Corner: Circle with number "4". Bottom-Left: Shield icon with "5". Bottom-Right: Heart icon with "3". Style: Worn paper texture antique aesthetic masterpiece.
